previous_experience_months,sales_experience_months,customer_service_experience_months,certification_count,relevant_certification,assessment_score,communication_score,product_knowledge_score,sales_skill_score,customer_service_score
14,0,14,0,0,62,68,87,67,81
0,0,0,2,1,72,69,56,59,56
18,0,0,0,0,58,49,65,44,55
0,0,0,0,0,59,46,48,46,53
22,4,7,0,0,51,60,56,54,45
0,0,0,0,0,48,44,54,40,41
20,0,2,0,0,66,64,59,43,64
52,52,30,1,1,96,70,64,63,73
24,15,0,3,0,58,61,57,24,59
9,9,0,3,0,66,69,65,70,56
23,23,3,0,0,57,62,71,47,73
52,36,40,0,0,86,74,89,51,61
38,21,30,2,0,40,66,60,81,65
3,0,0,0,0,55,37,50,65,57
75,39,31,1,0,83,100,75,82,87
0,0,0,3,1,58,66,56,52,51
5,0,0,0,0,46,56,47,57,65
28,23,0,2,0,59,61,63,56,81
35,21,6,1,1,77,77,49,83,64
26,8,0,0,0,64,72,79,41,45
38,8,38,0,0,64,86,71,35,65
24,4,12,1,1,66,70,51,54,57
6,6,6,1,0,88,57,39,54,59
42,13,14,1,0,39,62,32,57,50
0,0,0,1,0,44,44,58,51,50
5,0,0,1,1,41,48,75,50,62
58,30,49,3,1,89,71,91,80,76
7,7,6,1,0,74,54,65,57,66
34,10,17,2,1,48,45,75,46,34
49,26,11,3,1,60,60,70,60,73
4,3,0,2,0,72,55,73,69,66
23,17,0,1,1,57,68,46,63,68
6,0,0,0,0,42,70,27,53,46
39,25,1,2,1,78,78,94,93,91
18,7,0,1,0,70,63,89,72,58
36,0,2,4,1,62,43,57,50,64
1,0,0,0,0,54,44,80,59,33
49,21,20,2,0,70,80,46,48,67
54,54,24,0,0,70,83,84,64,62
0,0,0,2,0,47,63,34,45,57
43,22,16,0,0,75,70,59,71,82
13,0,13,1,1,58,53,54,56,46
0,0,0,1,0,24,30,33,13,10
10,0,10,1,1,56,52,52,70,79
21,14,9,3,1,71,83,60,70,39
42,10,17,1,0,56,62,58,77,67
0,0,0,1,1,27,31,44,27,42
28,1,0,1,0,52,80,52,43,44
40,14,28,1,1,60,68,65,61,88
35,10,34,0,0,44,60,75,54,69
8,8,4,2,1,76,81,49,59,50
31,4,11,3,1,45,69,23,31,50
31,1,25,0,0,73,72,55,48,43
65,58,43,3,0,98,92,77,100,92
51,34,25,0,0,75,62,63,69,78
74,42,17,3,1,59,64,52,69,64
39,33,23,2,1,85,82,59,81,66
43,20,30,4,1,54,62,65,83,58
15,1,0,2,1,57,50,42,41,42
0,0,0,0,0,33,48,36,41,57
31,0,0,1,1,83,77,44,68,72
15,0,5,0,0,48,79,55,50,33
0,0,0,1,1,54,67,57,58,57
21,4,8,1,1,63,59,36,46,41
37,17,14,2,1,90,78,70,100,72
46,18,6,0,0,51,45,42,48,61
33,6,25,1,0,68,79,57,22,74
30,11,30,2,1,87,82,69,79,49
8,0,0,2,1,51,59,55,45,45
34,9,11,0,0,47,30,69,50,65
29,13,8,3,1,63,78,39,59,82
28,21,24,3,0,76,61,70,90,73
0,0,0,0,0,44,67,41,57,45
19,0,2,1,1,61,54,40,35,81
2,2,2,0,0,47,50,72,37,46
28,3,0,2,1,61,60,64,72,43
52,32,14,0,0,74,74,77,82,57
41,4,27,2,1,41,75,49,58,63
26,2,26,2,0,56,79,58,92,58
2,0,2,1,1,52,60,50,63,53
34,0,0,1,0,41,54,58,32,52
0,0,0,3,1,30,34,54,39,35
0,0,0,1,0,73,42,41,59,47
65,11,28,0,0,62,44,49,88,76
26,0,1,4,1,80,58,79,48,51
35,30,17,2,1,50,68,50,60,45
22,7,6,3,0,47,93,88,59,69
53,34,45,2,1,75,77,68,58,83
36,23,8,0,0,68,98,70,57,67
64,32,33,1,0,84,82,74,97,80
20,4,0,2,1,53,75,45,60,57
26,5,1,4,1,61,60,42,54,44
68,49,26,1,0,87,84,57,83,48
46,24,29,2,1,53,36,41,47,64
68,29,31,5,0,71,73,82,77,76
6,1,5,3,1,72,59,70,59,75
43,0,22,1,0,66,66,51,69,55
20,13,0,0,0,54,50,61,54,45
0,0,0,1,0,53,60,65,60,43
44,13,8,0,0,45,58,37,54,63
0,0,0,2,1,49,53,48,47,30
18,10,18,1,1,59,69,78,55,52
15,4,0,0,0,40,44,38,35,49
47,0,23,2,0,62,69,44,43,63
0,0,0,1,0,31,73,55,64,34
38,13,0,3,1,49,46,49,49,64
14,14,9,0,0,73,92,46,74,90
20,20,0,1,1,60,76,97,89,71
19,0,9,2,1,33,52,46,57,47
38,16,12,4,1,52,48,69,61,62
41,30,0,0,0,57,76,53,47,61
0,0,0,2,1,47,47,58,38,64
47,20,0,0,0,48,68,40,49,61
7,2,0,1,0,39,69,68,51,62
0,0,0,0,0,40,40,58,36,56
25,14,2,0,0,68,62,50,80,45
1,1,0,3,1,61,68,78,65,54
23,23,23,2,1,83,55,57,46,53
44,12,31,0,0,51,41,74,53,49
26,13,26,0,0,64,70,77,45,67
18,5,18,2,1,46,47,55,54,72
70,50,32,3,1,77,83,43,73,69
19,0,4,0,0,49,64,72,57,37
0,0,0,0,0,38,64,49,61,63
83,64,64,3,1,90,86,69,100,94
10,1,0,1,1,61,57,75,40,54
8,0,2,3,1,65,70,68,50,65
74,37,30,0,0,57,54,69,40,43
60,21,16,2,1,100,73,83,75,66
23,0,0,1,1,51,60,47,41,50
35,26,9,0,0,45,58,76,55,53
62,37,46,0,0,76,86,69,74,77
1,0,1,1,1,58,45,53,48,69
0,0,0,1,0,47,40,66,28,63
63,37,42,3,1,76,77,82,70,69
44,23,35,3,0,60,82,63,87,80
37,0,1,0,0,63,58,59,58,51
38,10,18,0,0,56,55,59,68,69
6,6,3,1,0,67,48,64,58,48
7,0,7,2,1,60,65,54,58,53
39,17,27,1,0,72,64,59,75,74
28,0,1,2,1,79,49,61,44,54
27,27,0,1,1,67,48,68,71,68
33,11,33,3,0,97,81,72,70,100
36,24,36,0,0,88,57,65,72,70
30,17,25,2,1,68,71,44,59,68
41,25,26,4,1,58,92,88,53,61
31,14,8,3,1,69,56,68,46,69
17,7,4,3,1,81,76,65,54,70
41,37,20,2,1,65,68,46,68,61
100,72,63,3,0,100,100,100,91,100
0,0,0,0,0,34,37,28,28,37
28,11,13,0,0,45,70,54,44,56
44,28,16,2,0,51,71,72,52,54
12,7,5,0,0,73,51,62,62,72
15,10,15,1,0,75,84,78,90,62
14,0,5,0,0,50,74,50,63,66
39,5,7,3,1,47,85,66,53,57
35,0,0,0,0,64,71,47,61,51
63,48,29,2,0,74,80,74,76,56
22,22,18,1,1,74,56,57,43,70
37,0,3,2,1,63,53,53,59,57
2,0,2,3,1,63,84,57,46,52
21,21,11,2,1,55,71,80,72,73
59,9,13,1,1,60,67,40,56,68
0,0,0,1,1,49,42,54,28,44
46,39,20,2,0,55,68,40,72,85
45,16,22,0,0,70,63,74,52,58
34,26,22,3,1,85,63,67,84,74
56,56,29,4,1,93,73,76,86,83
3,3,0,1,0,75,66,63,52,36
0,0,0,0,0,39,63,33,45,41
69,18,24,0,0,85,92,73,87,75
0,0,0,1,1,36,23,37,46,34
0,0,0,0,0,44,43,36,14,28
37,12,12,1,1,60,62,82,66,57
29,29,2,3,1,59,67,53,47,31
12,9,3,1,0,49,62,44,56,62
51,51,37,2,0,86,91,86,84,80
39,0,5,1,0,51,43,45,63,30
78,59,47,2,1,63,88,73,66,87
5,0,0,1,1,45,57,43,37,27
0,0,0,1,0,49,44,47,57,48
0,0,0,1,0,31,58,70,60,48
16,4,12,1,1,74,72,62,88,60
14,1,14,1,1,51,60,39,76,32
24,0,1,1,0,52,40,53,51,50
24,8,9,0,0,57,60,90,55,48
85,29,32,1,0,81,86,72,66,83
41,30,39,1,0,74,68,89,68,78
70,46,28,5,0,69,76,61,81,80
42,8,8,1,0,64,40,44,43,61
0,0,0,0,0,33,34,53,47,45
11,0,0,5,1,34,65,35,42,52
33,33,2,0,0,84,80,68,84,65
46,9,20,2,0,43,48,51,58,63
30,25,27,0,0,72,67,83,60,62
26,11,0,0,0,38,39,50,60,54
48,34,23,1,1,71,62,92,67,73
36,8,35,2,0,72,43,75,70,53
10,0,10,0,0,42,71,42,65,57
42,18,14,2,1,53,60,48,38,68
34,8,14,2,1,49,53,51,49,59
0,0,0,0,0,27,53,53,55,48
2,0,2,0,0,57,47,52,53,32
15,0,0,0,0,52,41,50,61,64
59,23,33,3,1,73,68,66,56,58
0,0,0,1,1,45,71,48,51,42
7,7,0,1,1,54,67,33,64,72
16,16,13,3,1,48,69,63,69,62
19,19,1,1,1,49,57,91,37,52
73,34,53,1,1,83,98,78,57,83
